id,last_name,first_name,birth_yr,death_yr,profession,imdb_id,wiki
1000205,Shah,Naseeruddin,1950,,actor,,https://en.wikipedia.org/wiki/Naseeruddin_Shah
1000206,Shah,Imaad,,,actor,,https://en.wikipedia.org/wiki/Imaad_Shah
1000207,Shah,Vivaan,,,actor,,https://en.wikipedia.org/wiki/Vivaan_Shah
1000208,Shetty,Sunil,1961,,actor,,https://en.wikipedia.org/wiki/Sunil_Shetty
1000209,Shetty,Athiya,1992,,actor,,https://en.wikipedia.org/wiki/Athiya_Shetty
1000210,Shivdasani,Hari,1909,1994,actor,,https://en.wikipedia.org/wiki/Hari_Shivdasani
1000211,Shivdasani,Sadhana,1941,2015,actor,,https://en.wikipedia.org/wiki/Sadhana_Shivdasani
1000212,Shroff,Ayesha,1960,,producer/actor,,https://en.wikipedia.org/wiki/Ayesha_Shroff
1000213,Shroff,Jackie,1957,,actor,,https://en.wikipedia.org/wiki/Jackie_Shroff
1000214,Shroff,Tiger,1989,,actor,,https://en.wikipedia.org/wiki/Tiger_Shroff
1000215,Singh,Kanwaljit,,,actor,,https://en.wikipedia.org/wiki/Kanwaljit_Singh
1000216,Samarth,Kumarsen,,,,,https://en.wikipedia.org/wiki/Kumarsen_Samarth
1000217,Suri,Mohit,,,director,,https://en.wikipedia.org/wiki/Mohit_Suri
1000218,Suri,Smiley,,,actor,,https://en.wikipedia.org/wiki/Smiley_Suri
1000219,Suri,Sanjay,1971,,actor/producer,,https://en.wikipedia.org/wiki/Sanjay_Suri
1000220,Tagore,Sharmila,1944,,,,https://en.wikipedia.org/wiki/Sharmila_Tagore
1000221,Verma,Deven,1937,2014,actor,,https://en.wikipedia.org/wiki/Deven_Verma
1000222,Virwani,Tanuja,1986,,actor,,https://en.wikipedia.org/wiki/Tanuj_Virwani
1000223,Wahab,Zarina,1959,,actor,,https://en.wikipedia.org/wiki/Zarina_Wahab
1000224,,Jaddanbai,,,,,
1000225,,Madhoo,,,,,
1000226,,Hema Malini,,,,,
1000227,,Madhubala,1933,1969,actor,,
1000228,Mehta,Jay,,,business,,https://en.wikipedia.org/wiki/Jay_Mehta
1000229,Ambani,Anil,,,business,,https://en.wikipedia.org/wiki/Anil_Ambani
1000230,Khan,Gauri,,,business,,https://en.wikipedia.org/wiki/Gauri_Khan
1000231,Khan,Helen,1938,,actor,,https://en.wikipedia.org/wiki/Helen_Khan
1000232,Anand,Bittu,,,other,nm1027791,
1000233,Chopra,Aditya,1971,,producer/director,nm0159147,https://en.wikipedia.org/wiki/Aditya_Chopra
